m,c,error
1.47,20.77,13.372281
1.47,20.78,13.36923
1.47,20.79,13.366186
1.46,20.8,13.363066
1.46,20.81,13.359652
1.46,20.82,13.356245
1.46,20.83,13.352844
1.46,20.84,13.349449
1.46,20.85,13.346061
1.46,20.86,13.34268
1.46,20.87,13.339306
1.46,20.88,13.335938
1.46,20.89,13.332577
1.46,20.9,13.329222
1.46,20.91,13.325874
1.46,20.92,13.322533
1.46,20.93,13.319198
1.46,20.94,13.31587
1.46,20.95,13.312549
1.46,20.96,13.309235
1.46,20.97,13.305927
1.46,20.98,13.302626
1.46,20.99,13.299331
1.46,21,13.296044
1.46,21.01,13.292763
1.46,21.02,13.289488
1.46,21.03,13.286221
1.46,21.04,13.28296
1.46,21.05,13.279706
1.46,21.06,13.276458
1.46,21.07,13.273218
1.46,21.08,13.269984
1.46,21.09,13.266757
1.46,21.1,13.263536
1.46,21.11,13.260322
1.46,21.12,13.257116
1.46,21.13,13.253915
1.46,21.14,13.250722
1.46,21.15,13.247536
1.46,21.16,13.244356
1.46,21.17,13.241183
1.46,21.18,13.238017
1.46,21.19,13.234857
1.46,21.2,13.231705
1.46,21.21,13.228559
1.46,21.22,13.22542
1.46,21.23,13.222288
1.46,21.24,13.219162
1.46,21.25,13.216044
1.46,21.26,13.212932
1.46,21.27,13.209827
1.46,21.28,13.206729
1.46,21.29,13.203638
1.46,21.3,13.200554
1.46,21.31,13.197476
1.46,21.32,13.194406
1.46,21.33,13.191342
1.46,21.34,13.188285
1.46,21.35,13.185235
1.46,21.36,13.182192
1.46,21.37,13.179156
1.46,21.38,13.176127
1.46,21.39,13.173104
1.46,21.4,13.170089
1.46,21.41,13.16708
1.46,21.42,13.164078
1.46,21.43,13.161083
1.46,21.44,13.158096
1.46,21.45,13.155115
1.46,21.46,13.152141
1.46,21.47,13.149174
1.45,21.48,13.145896
1.45,21.49,13.142553
1.45,21.5,13.139217
1.45,21.51,13.135887
1.45,21.52,13.132564
1.45,21.53,13.129248
1.45,21.54,13.125939
1.45,21.55,13.122637
1.45,21.56,13.119341
1.45,21.57,13.116052
1.45,21.58,13.11277
1.45,21.59,13.109495
1.45,21.6,13.106226
1.45,21.61,13.102965
1.45,21.62,13.09971
1.45,21.63,13.096462
1.45,21.64,13.093221
1.45,21.65,13.089986
1.45,21.66,13.086759
1.45,21.67,13.083538
1.45,21.68,13.080325
1.45,21.69,13.077118
1.45,21.7,13.073918
1.45,21.71,13.070724
1.45,21.72,13.067538
1.45,21.73,13.064359
1.45,21.74,13.061186
1.45,21.75,13.05802
1.45,21.76,13.054862
1.45,21.77,13.05171
1.45,21.78,13.048565
1.45,21.79,13.045427
1.45,21.8,13.042296
1.45,21.81,13.039171
1.45,21.82,13.036054
1.45,21.83,13.032944
1.45,21.84,13.02984
1.45,21.85,13.026744
1.45,21.86,13.023654
1.45,21.87,13.020571
1.45,21.88,13.017496
1.45,21.89,13.014427
1.45,21.9,13.011365
1.45,21.91,13.00831
1.45,21.92,13.005263
1.45,21.93,13.002222
1.45,21.94,12.999188
1.45,21.95,12.996161
1.45,21.96,12.993141
1.45,21.97,12.990128
1.45,21.98,12.987122
1.45,21.99,12.984123
1.45,22,12.981132
1.45,22.01,12.978147
1.45,22.02,12.975169
1.45,22.03,12.972198
1.45,22.04,12.969234
1.45,22.05,12.966278
1.45,22.06,12.963328
1.45,22.07,12.960385
1.45,22.08,12.95745
1.45,22.09,12.954521
1.45,22.1,12.951599
1.45,22.11,12.948685
1.45,22.12,12.945778
1.45,22.13,12.942877
1.45,22.14,12.939984
1.44,22.15,12.936934
1.44,22.16,12.933659
1.44,22.17,12.93039
1.44,22.18,12.927129
1.44,22.19,12.923875
1.44,22.2,12.920627
1.44,22.21,12.917386
1.44,22.22,12.914153
1.44,22.23,12.910926
1.44,22.24,12.907706
1.44,22.25,12.904493
1.44,22.26,12.901287
1.44,22.27,12.898088
1.44,22.28,12.894896
1.44,22.29,12.891711
1.44,22.3,12.888533
1.44,22.31,12.885362
1.44,22.32,12.882198
1.44,22.33,12.879041
1.44,22.34,12.875891
1.44,22.35,12.872748
1.44,22.36,12.869612
1.44,22.37,12.866483
1.44,22.38,12.86336
1.44,22.39,12.860245
1.44,22.4,12.857137
1.44,22.41,12.854036
1.44,22.42,12.850942
1.44,22.43,12.847855
1.44,22.44,12.844775
1.44,22.45,12.841703
1.44,22.46,12.838637
1.44,22.47,12.835578
1.44,22.48,12.832526
1.44,22.49,12.829482
1.44,22.5,12.826444
1.44,22.51,12.823414
1.44,22.52,12.82039
1.44,22.53,12.817374
1.44,22.54,12.814365
1.44,22.55,12.811363
1.44,22.56,12.808368
1.44,22.57,12.80538
1.44,22.58,12.802399
1.44,22.59,12.799425
1.44,22.6,12.796459
1.44,22.61,12.793499
1.44,22.62,12.790547
1.44,22.63,12.787602
1.44,22.64,12.784664
1.44,22.65,12.781733
1.44,22.66,12.778809
1.44,22.67,12.775893
1.44,22.68,12.772984
1.44,22.69,12.770081
1.44,22.7,12.767186
1.44,22.71,12.764299
1.44,22.72,12.761418
1.44,22.73,12.758544
1.44,22.74,12.755678
1.44,22.75,12.752819
1.44,22.76,12.749967
1.44,22.77,12.747122
1.44,22.78,12.744285
1.44,22.79,12.741455
1.44,22.8,12.738632
1.44,22.81,12.735816
1.43,22.82,12.733001
1.43,22.83,12.729797
1.43,22.84,12.726601
1.43,22.85,12.723411
1.43,22.86,12.720228
1.43,22.87,12.717053
1.43,22.88,12.713884
1.43,22.89,12.710723
1.43,22.9,12.707569
1.43,22.91,12.704421
1.43,22.92,12.701281
1.43,22.93,12.698148
1.43,22.94,12.695022
1.43,22.95,12.691903
1.43,22.96,12.688792
1.43,22.97,12.685687
1.43,22.98,12.68259
1.43,22.99,12.679499
1.43,23,12.676416
1.43,23.01,12.67334
1.43,23.02,12.670271
1.43,23.03,12.667209
1.43,23.04,12.664155
1.43,23.05,12.661107
1.43,23.06,12.658067
1.43,23.07,12.655034
1.43,23.08,12.652008
1.43,23.09,12.648989
1.43,23.1,12.645978
1.43,23.11,12.642973
1.43,23.12,12.639976
1.43,23.13,12.636986
1.43,23.14,12.634003
1.43,23.15,12.631028
1.43,23.16,12.62806
1.43,23.17,12.625098
1.43,23.18,12.622145
1.43,23.19,12.619198
1.43,23.2,12.616259
1.43,23.21,12.613326
1.43,23.22,12.610401
1.43,23.23,12.607484
1.43,23.24,12.604573
1.43,23.25,12.60167
1.43,23.26,12.598774
1.43,23.27,12.595886
1.43,23.28,12.593004
1.43,23.29,12.59013
1.43,23.3,12.587264
1.43,23.31,12.584404
1.43,23.32,12.581552
1.43,23.33,12.578707
1.43,23.34,12.57587
1.43,23.35,12.573039
1.43,23.36,12.570216
1.43,23.37,12.567401
1.43,23.38,12.564593
1.43,23.39,12.561792
1.43,23.4,12.558998
1.43,23.41,12.556212
1.43,23.42,12.553433
1.43,23.43,12.550661
1.43,23.44,12.547897
1.43,23.45,12.54514
1.43,23.46,12.542391
1.43,23.47,12.539649
1.43,23.48,12.536914
1.43,23.49,12.534187
1.42,23.5,12.531215
1.42,23.51,12.528093
1.42,23.52,12.524979
1.42,23.53,12.521872
1.42,23.54,12.518772
1.42,23.55,12.515679
1.42,23.56,12.512594
1.42,23.57,12.509516
1.42,23.58,12.506445
1.42,23.59,12.503381
1.42,23.6,12.500325
1.42,23.61,12.497275
1.42,23.62,12.494233
1.42,23.63,12.491199
1.42,23.64,12.488171
1.42,23.65,12.485151
1.42,23.66,12.482138
1.42,23.67,12.479132
1.42,23.68,12.476134
1.42,23.69,12.473143
1.42,23.7,12.470159
1.42,23.71,12.467183
1.42,23.72,12.464214
1.42,23.73,12.461252
1.42,23.74,12.458298
1.42,23.75,12.455351
1.42,23.76,12.452411
1.42,23.77,12.449478
1.42,23.78,12.446553
1.42,23.79,12.443635
1.42,23.8,12.440725
1.42,23.81,12.437822
1.42,23.82,12.434926
1.42,23.83,12.432038
1.42,23.84,12.429157
1.42,23.85,12.426284
1.42,23.86,12.423417
1.42,23.87,12.420559
1.42,23.88,12.417707
1.42,23.89,12.414863
1.42,23.9,12.412027
1.42,23.91,12.409197
1.42,23.92,12.406376
1.42,23.93,12.403561
1.42,23.94,12.400754
1.42,23.95,12.397955
1.42,23.96,12.395163
1.42,23.97,12.392378
1.42,23.98,12.389601
1.42,23.99,12.386831
1.42,24,12.384069
1.42,24.01,12.381314
1.42,24.02,12.378567
1.42,24.03,12.375827
1.42,24.04,12.373095
1.42,24.05,12.37037
1.42,24.06,12.367652
1.42,24.07,12.364942
1.42,24.08,12.36224
1.42,24.09,12.359545
1.42,24.1,12.356858
1.42,24.11,12.354178
1.42,24.12,12.351505
1.42,24.13,12.34884
1.42,24.14,12.346183
1.42,24.15,12.343533
1.42,24.16,12.340891
1.41,24.17,12.338166
1.41,24.18,12.335124
1.41,24.19,12.332089
1.41,24.2,12.329061
1.41,24.21,12.32604
1.41,24.22,12.323027
1.41,24.23,12.320021
1.41,24.24,12.317023
1.41,24.25,12.314032
1.41,24.26,12.311049
1.41,24.27,12.308073
1.41,24.28,12.305104
1.41,24.29,12.302142
1.41,24.3,12.299189
1.41,24.31,12.296242
1.41,24.32,12.293303
1.41,24.33,12.290371
1.41,24.34,12.287447
1.41,24.35,12.28453
1.41,24.36,12.281621
1.41,24.37,12.278719
1.41,24.38,12.275825
1.41,24.39,12.272938
1.41,24.4,12.270059
1.41,24.41,12.267187
1.41,24.42,12.264322
1.41,24.43,12.261465
1.41,24.44,12.258616
1.41,24.45,12.255774
1.41,24.46,12.252939
1.41,24.47,12.250112
1.41,24.48,12.247293
1.41,24.49,12.244481
1.41,24.5,12.241676
1.41,24.51,12.238879
1.41,24.52,12.23609
1.41,24.53,12.233308
1.41,24.54,12.230534
1.41,24.55,12.227767
1.41,24.56,12.225008
1.41,24.57,12.222256
1.41,24.58,12.219512
1.41,24.59,12.216776
1.41,24.6,12.214047
1.41,24.61,12.211326
1.41,24.62,12.208612
1.41,24.63,12.205906
1.41,24.64,12.203207
1.41,24.65,12.200516
1.41,24.66,12.197833
1.41,24.67,12.195157
1.41,24.68,12.192489
1.41,24.69,12.189828
1.41,24.7,12.187175
1.41,24.71,12.18453
1.41,24.72,12.181892
1.41,24.73,12.179262
1.41,24.74,12.17664
1.41,24.75,12.174025
1.41,24.76,12.171418
1.41,24.77,12.168819
1.41,24.78,12.166227
1.41,24.79,12.163643
1.41,24.8,12.161067
1.41,24.81,12.158498
1.41,24.82,12.155937
1.41,24.83,12.153384
1.41,24.84,12.150838
1.4,24.85,12.147955
1.4,24.86,12.145003
1.4,24.87,12.142059
1.4,24.88,12.139122
1.4,24.89,12.136192
1.4,24.9,12.13327
1.4,24.91,12.130356
1.4,24.92,12.127449
1.4,24.93,12.124549
1.4,24.94,12.121657
1.4,24.95,12.118773
1.4,24.96,12.115896
1.4,24.97,12.113027
1.4,24.98,12.110166
1.4,24.99,12.107312
1.4,25,12.104465
1.4,25.01,12.101626
1.4,25.02,12.098795
1.4,25.03,12.095972
1.4,25.04,12.093156
1.4,25.05,12.090347
1.4,25.06,12.087547
1.4,25.07,12.084753
1.4,25.08,12.081968
1.4,25.09,12.07919
1.4,25.1,12.07642
1.4,25.11,12.073657
1.4,25.12,12.070902
1.4,25.13,12.068155
1.4,25.14,12.065416
1.4,25.15,12.062684
1.4,25.16,12.059959
1.4,25.17,12.057243
1.4,25.18,12.054534
1.4,25.19,12.051833
1.4,25.2,12.049139
1.4,25.21,12.046453
1.4,25.22,12.043775
1.4,25.23,12.041105
1.4,25.24,12.038442
1.4,25.25,12.035787
1.4,25.26,12.03314
1.4,25.27,12.0305
1.4,25.28,12.027869
1.4,25.29,12.025245
1.4,25.3,12.022628
1.4,25.31,12.02002
1.4,25.32,12.017419
1.4,25.33,12.014826
1.4,25.34,12.012241
1.4,25.35,12.009663
1.4,25.36,12.007093
1.4,25.37,12.004532
1.4,25.38,12.001977
1.4,25.39,11.999431
1.4,25.4,11.996892
1.4,25.41,11.994362
1.4,25.42,11.991839
1.4,25.43,11.989324
1.4,25.44,11.986816
1.4,25.45,11.984317
1.4,25.46,11.981825
1.4,25.47,11.979341
1.4,25.48,11.976865
1.4,25.49,11.974397
1.4,25.5,11.971937
1.4,25.51,11.969484
1.39,25.52,11.966861
1.39,25.53,11.963996
1.39,25.54,11.961138
1.39,25.55,11.958289
1.39,25.56,11.955447
1.39,25.57,11.952612
1.39,25.58,11.949786
1.39,25.59,11.946967
1.39,25.6,11.944156
1.39,25.61,11.941352
1.39,25.62,11.938557
1.39,25.63,11.935768
1.39,25.64,11.932988
1.39,25.65,11.930216
1.39,25.66,11.927451
1.39,25.67,11.924694
1.39,25.68,11.921944
1.39,25.69,11.919203
1.39,25.7,11.916469
1.39,25.71,11.913743
1.39,25.72,11.911025
1.39,25.73,11.908314
1.39,25.74,11.905611
1.39,25.75,11.902916
1.39,25.76,11.900229
1.39,25.77,11.89755
1.39,25.78,11.894878
1.39,25.79,11.892215
1.39,25.8,11.889559
1.39,25.81,11.886911
1.39,25.82,11.88427
1.39,25.83,11.881638
1.39,25.84,11.879013
1.39,25.85,11.876397
1.39,25.86,11.873788
1.39,25.87,11.871187
1.39,25.88,11.868593
1.39,25.89,11.866008
1.39,25.9,11.86343
1.39,25.91,11.860861
1.39,25.92,11.858299
1.39,25.93,11.855745
1.39,25.94,11.853199
1.39,25.95,11.850661
1.39,25.96,11.848131
1.39,25.97,11.845609
1.39,25.98,11.843094
1.39,25.99,11.840588
1.39,26,11.838089
1.39,26.01,11.835599
1.39,26.02,11.833116
1.39,26.03,11.830641
1.39,26.04,11.828174
1.39,26.05,11.825715
1.39,26.06,11.823264
1.39,26.07,11.820821
1.39,26.08,11.818386
1.39,26.09,11.815959
1.39,26.1,11.81354
1.39,26.11,11.811129
1.39,26.12,11.808726
1.39,26.13,11.806331
1.39,26.14,11.803943
1.39,26.15,11.801564
1.39,26.16,11.799193
1.39,26.17,11.79683
1.39,26.18,11.794475
1.38,26.19,11.79212
1.38,26.2,11.789346
1.38,26.21,11.78658
1.38,26.22,11.783822
1.38,26.23,11.781072
1.38,26.24,11.778329
1.38,26.25,11.775595
1.38,26.26,11.772868
1.38,26.27,11.770149
1.38,26.28,11.767438
1.38,26.29,11.764735
1.38,26.3,11.76204
1.38,26.31,11.759353
1.38,26.32,11.756673
1.38,26.33,11.754002
1.38,26.34,11.751338
1.38,26.35,11.748683
1.38,26.36,11.746035
1.38,26.37,11.743395
1.38,26.38,11.740763
1.38,26.39,11.738139
1.38,26.4,11.735523
1.38,26.41,11.732915
1.38,26.42,11.730315
1.38,26.43,11.727722
1.38,26.44,11.725138
1.38,26.45,11.722562
1.38,26.46,11.719993
1.38,26.47,11.717433
1.38,26.48,11.714881
1.38,26.49,11.712336
1.38,26.5,11.7098
1.38,26.51,11.707271
1.38,26.52,11.704751
1.38,26.53,11.702238
1.38,26.54,11.699734
1.38,26.55,11.697238
1.38,26.56,11.694749
1.38,26.57,11.692269
1.38,26.58,11.689796
1.38,26.59,11.687332
1.38,26.6,11.684876
1.38,26.61,11.682428
1.38,26.62,11.679987
1.38,26.63,11.677555
1.38,26.64,11.675131
1.38,26.65,11.672715
1.38,26.66,11.670307
1.38,26.67,11.667907
1.38,26.68,11.665516
1.38,26.69,11.663132
1.38,26.7,11.660756
1.38,26.71,11.658389
1.38,26.72,11.656029
1.38,26.73,11.653678
1.38,26.74,11.651335
1.38,26.75,11.649
1.38,26.76,11.646673
1.38,26.77,11.644354
1.38,26.78,11.642043
1.38,26.79,11.63974
1.38,26.8,11.637446
1.38,26.81,11.63516
1.38,26.82,11.632881
1.38,26.83,11.630611
1.38,26.84,11.628349
1.38,26.85,11.626096
1.38,26.86,11.62385
1.37,26.87,11.62134
1.37,26.88,11.61867
1.37,26.89,11.616008
1.37,26.9,11.613354
1.37,26.91,11.610707
1.37,26.92,11.608069
1.37,26.93,11.605439
1.37,26.94,11.602817
1.37,26.95,11.600203
1.37,26.96,11.597597
1.37,26.97,11.594999
1.37,26.98,11.592409
1.37,26.99,11.589827
1.37,27,11.587253
1.37,27.01,11.584687
1.37,27.02,11.582129
1.37,27.03,11.57958
1.37,27.04,11.577038
1.37,27.05,11.574504
1.37,27.06,11.571979
1.37,27.07,11.569462
1.37,27.08,11.566952
1.37,27.09,11.564451
1.37,27.1,11.561958
1.37,27.11,11.559473
1.37,27.12,11.556997
1.37,27.13,11.554528
1.37,27.14,11.552067
1.37,27.15,11.549615
1.37,27.16,11.547171
1.37,27.17,11.544734
1.37,27.18,11.542306
1.37,27.19,11.539887
1.37,27.2,11.537475
1.37,27.21,11.535071
1.37,27.22,11.532676
1.37,27.23,11.530289
1.37,27.24,11.52791
1.37,27.25,11.525539
1.37,27.26,11.523177
1.37,27.27,11.520822
1.37,27.28,11.518476
1.37,27.29,11.516138
1.37,27.3,11.513808
1.37,27.31,11.511487
1.37,27.32,11.509173
1.37,27.33,11.506868
1.37,27.34,11.504571
1.37,27.35,11.502282
1.37,27.36,11.500002
1.37,27.37,11.49773
1.37,27.38,11.495466
1.37,27.39,11.49321
1.37,27.4,11.490963
1.37,27.41,11.488724
1.37,27.42,11.486493
1.37,27.43,11.48427
1.37,27.44,11.482056
1.37,27.45,11.47985
1.37,27.46,11.477652
1.37,27.47,11.475463
1.37,27.48,11.473281
1.37,27.49,11.471108
1.37,27.5,11.468944
1.37,27.51,11.466788
1.37,27.52,11.46464
1.37,27.53,11.4625
1.36,27.54,11.460271
1.36,27.55,11.457701
1.36,27.56,11.455139
1.36,27.57,11.452585
1.36,27.58,11.450039
1.36,27.59,11.447502
1.36,27.6,11.444973
1.36,27.61,11.442452
1.36,27.62,11.439939
1.36,27.63,11.437434
1.36,27.64,11.434937
1.36,27.65,11.432449
1.36,27.66,11.429969
1.36,27.67,11.427497
1.36,27.68,11.425033
1.36,27.69,11.422578
1.36,27.7,11.420131
1.36,27.71,11.417692
1.36,27.72,11.415261
1.36,27.73,11.412838
1.36,27.74,11.410424
1.36,27.75,11.408018
1.36,27.76,11.40562
1.36,27.77,11.403231
1.36,27.78,11.40085
1.36,27.79,11.398477
1.36,27.8,11.396112
1.36,27.81,11.393756
1.36,27.82,11.391408
1.36,27.83,11.389068
1.36,27.84,11.386736
1.36,27.85,11.384413
1.36,27.86,11.382098
1.36,27.87,11.379792
1.36,27.88,11.377494
1.36,27.89,11.375204
1.36,27.9,11.372922
1.36,27.91,11.370649
1.36,27.92,11.368384
1.36,27.93,11.366128
1.36,27.94,11.363879
1.36,27.95,11.361639
1.36,27.96,11.359408
1.36,27.97,11.357185
1.36,27.98,11.35497
1.36,27.99,11.352764
1.36,28,11.350566
1.36,28.01,11.348376
1.36,28.02,11.346195
1.36,28.03,11.344022
1.36,28.04,11.341858
1.36,28.05,11.339702
1.36,28.06,11.337554
1.36,28.07,11.335415
1.36,28.08,11.333284
1.36,28.09,11.331162
1.36,28.1,11.329048
1.36,28.11,11.326943
1.36,28.12,11.324846
1.36,28.13,11.322757
1.36,28.14,11.320677
1.36,28.15,11.318605
1.36,28.16,11.316542
1.36,28.17,11.314487
1.36,28.18,11.312441
1.36,28.19,11.310403
1.36,28.2,11.308374
1.36,28.21,11.306353
1.35,28.22,11.303969
1.35,28.23,11.301512
1.35,28.24,11.299063
1.35,28.25,11.296622
1.35,28.26,11.29419
1.35,28.27,11.291766
1.35,28.28,11.28935
1.35,28.29,11.286943
1.35,28.3,11.284544
1.35,28.31,11.282153
1.35,28.32,11.279771
1.35,28.33,11.277397
1.35,28.34,11.275032
1.35,28.35,11.272675
1.35,28.36,11.270326
1.35,28.37,11.267986
1.35,28.38,11.265654
1.35,28.39,11.26333
1.35,28.4,11.261015
1.35,28.41,11.258708
1.35,28.42,11.25641
1.35,28.43,11.25412
1.35,28.44,11.251838
1.35,28.45,11.249565
1.35,28.46,11.247301
1.35,28.47,11.245044
1.35,28.48,11.242797
1.35,28.49,11.240557
1.35,28.5,11.238326
1.35,28.51,11.236104
1.35,28.52,11.23389
1.35,28.53,11.231685
1.35,28.54,11.229487
1.35,28.55,11.227299
1.35,28.56,11.225119
1.35,28.57,11.222947
1.35,28.58,11.220784
1.35,28.59,11.21863
1.35,28.6,11.216484
1.35,28.61,11.214346
1.35,28.62,11.212217
1.35,28.63,11.210096
1.35,28.64,11.207984
1.35,28.65,11.205881
1.35,28.66,11.203786
1.35,28.67,11.201699
1.35,28.68,11.199622
1.35,28.69,11.197552
1.35,28.7,11.195491
1.35,28.71,11.193439
1.35,28.72,11.191395
1.35,28.73,11.18936
1.35,28.74,11.187334
1.35,28.75,11.185316
1.35,28.76,11.183306
1.35,28.77,11.181306
1.35,28.78,11.179313
1.35,28.79,11.17733
1.35,28.8,11.175355
1.35,28.81,11.173388
1.35,28.82,11.17143
1.35,28.83,11.169481
1.35,28.84,11.16754
1.35,28.85,11.165608
1.35,28.86,11.163685
1.35,28.87,11.16177
1.35,28.88,11.159864
1.34,28.89,11.157774
1.34,28.9,11.155426
1.34,28.91,11.153086
1.34,28.92,11.150755
1.34,28.93,11.148432
1.34,28.94,11.146118
1.34,28.95,11.143812
1.34,28.96,11.141515
1.34,28.97,11.139226
1.34,28.98,11.136946
1.34,28.99,11.134674
1.34,29,11.132411
1.34,29.01,11.130157
1.34,29.02,11.127911
1.34,29.03,11.125673
1.34,29.04,11.123444
1.34,29.05,11.121223
1.34,29.06,11.119011
1.34,29.07,11.116808
1.34,29.08,11.114613
1.34,29.09,11.112427
1.34,29.1,11.110249
1.34,29.11,11.10808
1.34,29.12,11.10592
1.34,29.13,11.103768
1.34,29.14,11.101624
1.34,29.15,11.09949
1.34,29.16,11.097364
1.34,29.17,11.095246
1.34,29.18,11.093137
1.34,29.19,11.091037
1.34,29.2,11.088945
1.34,29.21,11.086862
1.34,29.22,11.084787
1.34,29.23,11.082722
1.34,29.24,11.080664
1.34,29.25,11.078616
1.34,29.26,11.076576
1.34,29.27,11.074545
1.34,29.28,11.072522
1.34,29.29,11.070508
1.34,29.3,11.068503
1.34,29.31,11.066507
1.34,29.32,11.064519
1.34,29.33,11.062539
1.34,29.34,11.060569
1.34,29.35,11.058607
1.34,29.36,11.056654
1.34,29.37,11.05471
1.34,29.38,11.052774
1.34,29.39,11.050847
1.34,29.4,11.048929
1.34,29.41,11.047019
1.34,29.42,11.045118
1.34,29.43,11.043226
1.34,29.44,11.041343
1.34,29.45,11.039468
1.34,29.46,11.037602
1.34,29.47,11.035745
1.34,29.48,11.033896
1.34,29.49,11.032057
1.34,29.5,11.030226
1.34,29.51,11.028404
1.34,29.52,11.02659
1.34,29.53,11.024786
1.34,29.54,11.02299
1.34,29.55,11.021203
1.33,29.56,11.019415
1.33,29.57,11.01718
1.33,29.58,11.014955
1.33,29.59,11.012737
1.33,29.6,11.010529
1.33,29.61,11.008329
1.33,29.62,11.006137
1.33,29.63,11.003955
1.33,29.64,11.001781
1.33,29.65,10.999616
1.33,29.66,10.997459
1.33,29.67,10.995311
1.33,29.68,10.993172
1.33,29.69,10.991041
1.33,29.7,10.988919
1.33,29.71,10.986806
1.33,29.72,10.984701
1.33,29.73,10.982605
1.33,29.74,10.980518
1.33,29.75,10.97844
1.33,29.76,10.97637
1.33,29.77,10.974309
1.33,29.78,10.972257
1.33,29.79,10.970213
1.33,29.8,10.968178
1.33,29.81,10.966152
1.33,29.82,10.964135
1.33,29.83,10.962126
1.33,29.84,10.960127
1.33,29.85,10.958136
1.33,29.86,10.956153
1.33,29.87,10.95418
1.33,29.88,10.952215
1.33,29.89,10.950259
1.33,29.9,10.948312
1.33,29.91,10.946374
1.33,29.92,10.944444
1.33,29.93,10.942523
1.33,29.94,10.940611
1.33,29.95,10.938708
1.33,29.96,10.936814
1.33,29.97,10.934928
1.33,29.98,10.933051
1.33,29.99,10.931184
1.33,30,10.929324
1.33,30.01,10.927474
1.33,30.02,10.925633
1.33,30.03,10.9238
1.33,30.04,10.921977
1.33,30.05,10.920162
1.33,30.06,10.918356
1.33,30.07,10.916559
1.33,30.08,10.91477
1.33,30.09,10.912991
1.33,30.1,10.91122
1.33,30.11,10.909459
1.33,30.12,10.907706
1.33,30.13,10.905962
1.33,30.14,10.904227
1.33,30.15,10.902501
1.33,30.16,10.900784
1.33,30.17,10.899076
1.33,30.18,10.897376
1.33,30.19,10.895686
1.33,30.2,10.894004
1.33,30.21,10.892332
1.33,30.22,10.890668
1.33,30.23,10.889013
1.32,30.24,10.887075
1.32,30.25,10.884967
1.32,30.26,10.882868
1.32,30.27,10.880778
1.32,30.28,10.878697
1.32,30.29,10.876625
1.32,30.3,10.874561
1.32,30.31,10.872506
1.32,30.32,10.87046
1.32,30.33,10.868423
1.32,30.34,10.866395
1.32,30.35,10.864375
1.32,30.36,10.862364
1.32,30.37,10.860363
1.32,30.38,10.858369
1.32,30.39,10.856385
1.32,30.4,10.85441
1.32,30.41,10.852443
1.32,30.42,10.850486
1.32,30.43,10.848537
1.32,30.44,10.846597
1.32,30.45,10.844666
1.32,30.46,10.842744
1.32,30.47,10.840831
1.32,30.48,10.838926
1.32,30.49,10.837031
1.32,30.5,10.835144
1.32,30.51,10.833266
1.32,30.52,10.831398
1.32,30.53,10.829538
1.32,30.54,10.827687
1.32,30.55,10.825845
1.32,30.56,10.824012
1.32,30.57,10.822188
1.32,30.58,10.820372
1.32,30.59,10.818566
1.32,30.6,10.816769
1.32,30.61,10.81498
1.32,30.62,10.813201
1.32,30.63,10.81143
1.32,30.64,10.809669
1.32,30.65,10.807916
1.32,30.66,10.806173
1.32,30.67,10.804438
1.32,30.68,10.802712
1.32,30.69,10.800996
1.32,30.7,10.799288
1.32,30.71,10.797589
1.32,30.72,10.795899
1.32,30.73,10.794219
1.32,30.74,10.792547
1.32,30.75,10.790884
1.32,30.76,10.789231
1.32,30.77,10.787586
1.32,30.78,10.78595
1.32,30.79,10.784324
1.32,30.8,10.782706
1.32,30.81,10.781098
1.32,30.82,10.779498
1.32,30.83,10.777908
1.32,30.84,10.776326
1.32,30.85,10.774754
1.32,30.86,10.773191
1.32,30.87,10.771636
1.32,30.88,10.770091
1.32,30.89,10.768555
1.32,30.9,10.767028
1.31,30.91,10.765404
1.31,30.92,10.763419
1.31,30.93,10.761443
1.31,30.94,10.759476
1.31,30.95,10.757518
1.31,30.96,10.755569
1.31,30.97,10.753629
1.31,30.98,10.751697
1.31,30.99,10.749775
1.31,31,10.747862
1.31,31.01,10.745957
1.31,31.02,10.744062
1.31,31.03,10.742175
1.31,31.04,10.740298
1.31,31.05,10.738429
1.31,31.06,10.73657
1.31,31.07,10.734719
1.31,31.08,10.732878
1.31,31.09,10.731045
1.31,31.1,10.729222
1.31,31.11,10.727407
1.31,31.12,10.725602
1.31,31.13,10.723805
1.31,31.14,10.722018
1.31,31.15,10.72024
1.31,31.16,10.71847
1.31,31.17,10.71671
1.31,31.18,10.714959
1.31,31.19,10.713216
1.31,31.2,10.711483
1.31,31.21,10.709759
1.31,31.22,10.708044
1.31,31.23,10.706338
1.31,31.24,10.704641
1.31,31.25,10.702953
1.31,31.26,10.701275
1.31,31.27,10.699605
1.31,31.28,10.697944
1.31,31.29,10.696293
1.31,31.3,10.69465
1.31,31.31,10.693017
1.31,31.32,10.691393
1.31,31.33,10.689778
1.31,31.34,10.688172
1.31,31.35,10.686575
1.31,31.36,10.684987
1.31,31.37,10.683408
1.31,31.38,10.681839
1.31,31.39,10.680279
1.31,31.4,10.678727
1.31,31.41,10.677185
1.31,31.42,10.675652
1.31,31.43,10.674129
1.31,31.44,10.672614
1.31,31.45,10.671108
1.31,31.46,10.669612
1.31,31.47,10.668125
1.31,31.48,10.666647
1.31,31.49,10.665178
1.31,31.5,10.663718
1.31,31.51,10.662268
1.31,31.52,10.660827
1.31,31.53,10.659395
1.31,31.54,10.657972
