m,c,error
1.59,12.47,16.339618
1.59,12.48,16.335804
1.59,12.49,16.331994
1.59,12.5,16.328191
1.59,12.51,16.324392
1.59,12.52,16.320598
1.59,12.53,16.31681
1.59,12.54,16.313027
1.59,12.55,16.30925
1.59,12.56,16.305477
1.59,12.57,16.30171
1.59,12.58,16.297948
1.59,12.59,16.294191
1.59,12.6,16.29044
1.59,12.61,16.286694
1.59,12.62,16.282953
1.59,12.63,16.279218
1.59,12.64,16.275487
1.59,12.65,16.271762
1.59,12.66,16.268043
1.59,12.67,16.264328
1.59,12.68,16.260619
1.59,12.69,16.256916
1.59,12.7,16.253217
1.58,12.71,16.249522
1.58,12.72,16.245519
1.58,12.73,16.241521
1.58,12.74,16.237528
1.58,12.75,16.233541
1.58,12.76,16.229558
1.58,12.77,16.225581
1.58,12.78,16.221609
1.58,12.79,16.217642
1.58,12.8,16.21368
1.58,12.81,16.209724
1.58,12.82,16.205772
1.58,12.83,16.201826
1.58,12.84,16.197885
1.58,12.85,16.19395
1.58,12.86,16.190019
1.58,12.87,16.186094
1.58,12.88,16.182174
1.58,12.89,16.178259
1.58,12.9,16.17435
1.58,12.91,16.170446
1.58,12.92,16.166547
1.58,12.93,16.162653
1.58,12.94,16.158764
1.58,12.95,16.154881
1.58,12.96,16.151003
1.58,12.97,16.14713
1.58,12.98,16.143263
1.58,12.99,16.1394
1.58,13,16.135543
1.58,13.01,16.131692
1.58,13.02,16.127845
1.58,13.03,16.124004
1.58,13.04,16.120168
1.58,13.05,16.116338
1.58,13.06,16.112513
1.58,13.07,16.108693
1.58,13.08,16.104878
1.58,13.09,16.101069
1.58,13.1,16.097265
1.58,13.11,16.093466
1.58,13.12,16.089673
1.58,13.13,16.085885
1.58,13.14,16.082102
1.58,13.15,16.078324
1.58,13.16,16.074552
1.58,13.17,16.070786
1.58,13.18,16.067024
1.58,13.19,16.063268
1.58,13.2,16.059517
1.58,13.21,16.055772
1.58,13.22,16.052032
1.58,13.23,16.048297
1.58,13.24,16.044568
1.58,13.25,16.040844
1.58,13.26,16.037126
1.58,13.27,16.033413
1.58,13.28,16.029705
1.58,13.29,16.026002
1.58,13.3,16.022305
1.58,13.31,16.018614
1.58,13.32,16.014927
1.58,13.33,16.011247
1.58,13.34,16.007571
1.58,13.35,16.003901
1.58,13.36,16.000237
1.58,13.37,15.996577
1.58,13.38,15.992923
1.57,13.39,15.989081
1.57,13.4,15.985117
1.57,13.41,15.981159
1.57,13.42,15.977206
1.57,13.43,15.973258
1.57,13.44,15.969316
1.57,13.45,15.965379
1.57,13.46,15.961447
1.57,13.47,15.957521
1.57,13.48,15.9536
1.57,13.49,15.949684
1.57,13.5,15.945773
1.57,13.51,15.941868
1.57,13.52,15.937968
1.57,13.53,15.934073
1.57,13.54,15.930184
1.57,13.55,15.9263
1.57,13.56,15.922421
1.57,13.57,15.918548
1.57,13.58,15.91468
1.57,13.59,15.910818
1.57,13.6,15.90696
1.57,13.61,15.903108
1.57,13.62,15.899262
1.57,13.63,15.895421
1.57,13.64,15.891585
1.57,13.65,15.887754
1.57,13.66,15.883929
1.57,13.67,15.88011
1.57,13.68,15.876295
1.57,13.69,15.872486
1.57,13.7,15.868683
1.57,13.71,15.864885
1.57,13.72,15.861092
1.57,13.73,15.857304
1.57,13.74,15.853522
1.57,13.75,15.849746
1.57,13.76,15.845975
1.57,13.77,15.842209
1.57,13.78,15.838449
1.57,13.79,15.834694
1.57,13.8,15.830944
1.57,13.81,15.8272
1.57,13.82,15.823462
1.57,13.83,15.819729
1.57,13.84,15.816001
1.57,13.85,15.812278
1.57,13.86,15.808562
1.57,13.87,15.80485
1.57,13.88,15.801144
1.57,13.89,15.797444
1.57,13.9,15.793749
1.57,13.91,15.790059
1.57,13.92,15.786375
1.57,13.93,15.782697
1.57,13.94,15.779024
1.57,13.95,15.775356
1.57,13.96,15.771694
1.57,13.97,15.768037
1.57,13.98,15.764386
1.57,13.99,15.76074
1.57,14,15.7571
1.57,14.01,15.753466
1.57,14.02,15.749837
1.57,14.03,15.746213
1.57,14.04,15.742595
1.57,14.05,15.738982
1.56,14.06,15.735308
1.56,14.07,15.731381
1.56,14.08,15.727459
1.56,14.09,15.723542
1.56,14.1,15.719631
1.56,14.11,15.715726
1.56,14.12,15.711825
1.56,14.13,15.707931
1.56,14.14,15.704041
1.56,14.15,15.700157
1.56,14.16,15.696278
1.56,14.17,15.692405
1.56,14.18,15.688537
1.56,14.19,15.684675
1.56,14.2,15.680818
1.56,14.21,15.676966
1.56,14.22,15.67312
1.56,14.23,15.66928
1.56,14.24,15.665444
1.56,14.25,15.661615
1.56,14.26,15.65779
1.56,14.27,15.653971
1.56,14.28,15.650158
1.56,14.29,15.64635
1.56,14.3,15.642548
1.56,14.31,15.638751
1.56,14.32,15.634959
1.56,14.33,15.631173
1.56,14.34,15.627392
1.56,14.35,15.623617
1.56,14.36,15.619848
1.56,14.37,15.616084
1.56,14.38,15.612325
1.56,14.39,15.608572
1.56,14.4,15.604824
1.56,14.41,15.601082
1.56,14.42,15.597345
1.56,14.43,15.593614
1.56,14.44,15.589889
1.56,14.45,15.586169
1.56,14.46,15.582454
1.56,14.47,15.578745
1.56,14.48,15.575042
1.56,14.49,15.571344
1.56,14.5,15.567652
1.56,14.51,15.563965
1.56,14.52,15.560284
1.56,14.53,15.556608
1.56,14.54,15.552938
1.56,14.55,15.549273
1.56,14.56,15.545614
1.56,14.57,15.541961
1.56,14.58,15.538313
1.56,14.59,15.534671
1.56,14.6,15.531034
1.56,14.61,15.527403
1.56,14.62,15.523778
1.56,14.63,15.520158
1.56,14.64,15.516543
1.56,14.65,15.512935
1.56,14.66,15.509332
1.56,14.67,15.505734
1.56,14.68,15.502142
1.56,14.69,15.498556
1.56,14.7,15.494976
1.56,14.71,15.491401
1.56,14.72,15.487831
1.56,14.73,15.484267
1.55,14.74,15.480442
1.55,14.75,15.476559
1.55,14.76,15.472681
1.55,14.77,15.468808
1.55,14.78,15.464941
1.55,14.79,15.461079
1.55,14.8,15.457223
1.55,14.81,15.453373
1.55,14.82,15.449528
1.55,14.83,15.445688
1.55,14.84,15.441854
1.55,14.85,15.438026
1.55,14.86,15.434203
1.55,14.87,15.430386
1.55,14.88,15.426574
1.55,14.89,15.422767
1.55,14.9,15.418967
1.55,14.91,15.415172
1.55,14.92,15.411382
1.55,14.93,15.407598
1.55,14.94,15.403819
1.55,14.95,15.400046
1.55,14.96,15.396279
1.55,14.97,15.392517
1.55,14.98,15.388761
1.55,14.99,15.38501
1.55,15,15.381265
1.55,15.01,15.377526
1.55,15.02,15.373792
1.55,15.03,15.370063
1.55,15.04,15.366341
1.55,15.05,15.362624
1.55,15.06,15.358912
1.55,15.07,15.355206
1.55,15.08,15.351506
1.55,15.09,15.347811
1.55,15.1,15.344123
1.55,15.11,15.340439
1.55,15.12,15.336761
1.55,15.13,15.333089
1.55,15.14,15.329423
1.55,15.15,15.325762
1.55,15.16,15.322107
1.55,15.17,15.318458
1.55,15.18,15.314814
1.55,15.19,15.311176
1.55,15.2,15.307543
