best m,c is 1.610000,10.940000 with error 16.936749 in direction 0
best m,c is 1.610000,10.950000 with error 16.932771 in direction 0
best m,c is 1.610000,10.960000 with error 16.928797 in direction 0
best m,c is 1.610000,10.970000 with error 16.924829 in direction 0
best m,c is 1.610000,10.980000 with error 16.920866 in direction 0
best m,c is 1.610000,10.990000 with error 16.916907 in direction 0
best m,c is 1.610000,11.000000 with error 16.912954 in direction 0
best m,c is 1.610000,11.010000 with error 16.909005 in direction 0
best m,c is 1.610000,11.020000 with error 16.905062 in direction 0
best m,c is 1.610000,11.030000 with error 16.901123 in direction 0
best m,c is 1.610000,11.040000 with error 16.897190 in direction 0
best m,c is 1.610000,11.050000 with error 16.893262 in direction 0
best m,c is 1.610000,11.060000 with error 16.889338 in direction 0
best m,c is 1.610000,11.070000 with error 16.885420 in direction 0
best m,c is 1.610000,11.080000 with error 16.881506 in direction 0
best m,c is 1.610000,11.090000 with error 16.877598 in direction 0
best m,c is 1.610000,11.100000 with error 16.873694 in direction 0
best m,c is 1.610000,11.110000 with error 16.869796 in direction 0
best m,c is 1.610000,11.120000 with error 16.865903 in direction 0
best m,c is 1.610000,11.130000 with error 16.862014 in direction 0
best m,c is 1.610000,11.140000 with error 16.858131 in direction 0
best m,c is 1.610000,11.150000 with error 16.854253 in direction 0
best m,c is 1.610000,11.160000 with error 16.850380 in direction 0
best m,c is 1.610000,11.170000 with error 16.846512 in direction 0
best m,c is 1.610000,11.180000 with error 16.842649 in direction 0
best m,c is 1.610000,11.190000 with error 16.838790 in direction 0
best m,c is 1.610000,11.200000 with error 16.834937 in direction 0
best m,c is 1.610000,11.210000 with error 16.831090 in direction 0
best m,c is 1.610000,11.220000 with error 16.827247 in direction 0
best m,c is 1.610000,11.230000 with error 16.823409 in direction 0
best m,c is 1.610000,11.240000 with error 16.819576 in direction 0
best m,c is 1.610000,11.250000 with error 16.815749 in direction 0
best m,c is 1.610000,11.260000 with error 16.811926 in direction 0
best m,c is 1.610000,11.270000 with error 16.808108 in direction 0
best m,c is 1.610000,11.280000 with error 16.804296 in direction 0
best m,c is 1.610000,11.290000 with error 16.800489 in direction 0
best m,c is 1.610000,11.300000 with error 16.796687 in direction 0
best m,c is 1.610000,11.310000 with error 16.792889 in direction 0
best m,c is 1.610000,11.320000 with error 16.789097 in direction 0
best m,c is 1.610000,11.330000 with error 16.785310 in direction 0
best m,c is 1.610000,11.340000 with error 16.781529 in direction 0
best m,c is 1.610000,11.350000 with error 16.777752 in direction 0
best m,c is 1.610000,11.360000 with error 16.773980 in direction 0
best m,c is 1.600000,11.370000 with error 16.769968 in direction 7
best m,c is 1.600000,11.380000 with error 16.765901 in direction 0
best m,c is 1.600000,11.390000 with error 16.761839 in direction 0
best m,c is 1.600000,11.400000 with error 16.757782 in direction 0
best m,c is 1.600000,11.410000 with error 16.753730 in direction 0
best m,c is 1.600000,11.420000 with error 16.749683 in direction 0
best m,c is 1.600000,11.430000 with error 16.745641 in direction 0
best m,c is 1.600000,11.440000 with error 16.741604 in direction 0
best m,c is 1.600000,11.450000 with error 16.737571 in direction 0
best m,c is 1.600000,11.460000 with error 16.733544 in direction 0
best m,c is 1.600000,11.470000 with error 16.729522 in direction 0
best m,c is 1.600000,11.480000 with error 16.725505 in direction 0
best m,c is 1.600000,11.490000 with error 16.721493 in direction 0
best m,c is 1.600000,11.500000 with error 16.717486 in direction 0
best m,c is 1.600000,11.510000 with error 16.713484 in direction 0
best m,c is 1.600000,11.520000 with error 16.709487 in direction 0
best m,c is 1.600000,11.530000 with error 16.705495 in direction 0
best m,c is 1.600000,11.540000 with error 16.701508 in direction 0
best m,c is 1.600000,11.550000 with error 16.697527 in direction 0
best m,c is 1.600000,11.560000 with error 16.693550 in direction 0
best m,c is 1.600000,11.570000 with error 16.689578 in direction 0
best m,c is 1.600000,11.580000 with error 16.685611 in direction 0
best m,c is 1.600000,11.590000 with error 16.681649 in direction 0
best m,c is 1.600000,11.600000 with error 16.677693 in direction 0
best m,c is 1.600000,11.610000 with error 16.673741 in direction 0
best m,c is 1.600000,11.620000 with error 16.669795 in direction 0
best m,c is 1.600000,11.630000 with error 16.665853 in direction 0
best m,c is 1.600000,11.640000 with error 16.661917 in direction 0
best m,c is 1.600000,11.650000 with error 16.657986 in direction 0
best m,c is 1.600000,11.660000 with error 16.654059 in direction 0
best m,c is 1.600000,11.670000 with error 16.650138 in direction 0
best m,c is 1.600000,11.680000 with error 16.646222 in direction 0
best m,c is 1.600000,11.690000 with error 16.642311 in direction 0
best m,c is 1.600000,11.700000 with error 16.638405 in direction 0
best m,c is 1.600000,11.710000 with error 16.634505 in direction 0
best m,c is 1.600000,11.720000 with error 16.630609 in direction 0
best m,c is 1.600000,11.730000 with error 16.626718 in direction 0
best m,c is 1.600000,11.740000 with error 16.622833 in direction 0
best m,c is 1.600000,11.750000 with error 16.618952 in direction 0
best m,c is 1.600000,11.760000 with error 16.615077 in direction 0
best m,c is 1.600000,11.770000 with error 16.611207 in direction 0
best m,c is 1.600000,11.780000 with error 16.607342 in direction 0
best m,c is 1.600000,11.790000 with error 16.603482 in direction 0
best m,c is 1.600000,11.800000 with error 16.599627 in direction 0
best m,c is 1.600000,11.810000 with error 16.595778 in direction 0
best m,c is 1.600000,11.820000 with error 16.591933 in direction 0
best m,c is 1.600000,11.830000 with error 16.588094 in direction 0
best m,c is 1.600000,11.840000 with error 16.584260 in direction 0
best m,c is 1.600000,11.850000 with error 16.580430 in direction 0
best m,c is 1.600000,11.860000 with error 16.576607 in direction 0
best m,c is 1.600000,11.870000 with error 16.572788 in direction 0
best m,c is 1.600000,11.880000 with error 16.568974 in direction 0
best m,c is 1.600000,11.890000 with error 16.565166 in direction 0
best m,c is 1.600000,11.900000 with error 16.561362 in direction 0
best m,c is 1.600000,11.910000 with error 16.557564 in direction 0
best m,c is 1.600000,11.920000 with error 16.553771 in direction 0
best m,c is 1.600000,11.930000 with error 16.549983 in direction 0
best m,c is 1.600000,11.940000 with error 16.546201 in direction 0
best m,c is 1.600000,11.950000 with error 16.542423 in direction 0
best m,c is 1.600000,11.960000 with error 16.538651 in direction 0
best m,c is 1.600000,11.970000 with error 16.534884 in direction 0
best m,c is 1.600000,11.980000 with error 16.531122 in direction 0
best m,c is 1.600000,11.990000 with error 16.527365 in direction 0
best m,c is 1.600000,12.000000 with error 16.523614 in direction 0
best m,c is 1.600000,12.010000 with error 16.519868 in direction 0
best m,c is 1.600000,12.020000 with error 16.516127 in direction 0
best m,c is 1.600000,12.030000 with error 16.512391 in direction 0
best m,c is 1.590000,12.040000 with error 16.508534 in direction 7
best m,c is 1.590000,12.050000 with error 16.504498 in direction 0
best m,c is 1.590000,12.060000 with error 16.500467 in direction 0
best m,c is 1.590000,12.070000 with error 16.496442 in direction 0
best m,c is 1.590000,12.080000 with error 16.492421 in direction 0
best m,c is 1.590000,12.090000 with error 16.488406 in direction 0
best m,c is 1.590000,12.100000 with error 16.484395 in direction 0
best m,c is 1.590000,12.110000 with error 16.480390 in direction 0
best m,c is 1.590000,12.120000 with error 16.476389 in direction 0
best m,c is 1.590000,12.130000 with error 16.472394 in direction 0
best m,c is 1.590000,12.140000 with error 16.468404 in direction 0
best m,c is 1.590000,12.150000 with error 16.464419 in direction 0
best m,c is 1.590000,12.160000 with error 16.460439 in direction 0
best m,c is 1.590000,12.170000 with error 16.456464 in direction 0
best m,c is 1.590000,12.180000 with error 16.452495 in direction 0
best m,c is 1.590000,12.190000 with error 16.448530 in direction 0
best m,c is 1.590000,12.200000 with error 16.444571 in direction 0
best m,c is 1.590000,12.210000 with error 16.440617 in direction 0
best m,c is 1.590000,12.220000 with error 16.436667 in direction 0
best m,c is 1.590000,12.230000 with error 16.432723 in direction 0
best m,c is 1.590000,12.240000 with error 16.428785 in direction 0
best m,c is 1.590000,12.250000 with error 16.424851 in direction 0
best m,c is 1.590000,12.260000 with error 16.420922 in direction 0
best m,c is 1.590000,12.270000 with error 16.416999 in direction 0
best m,c is 1.590000,12.280000 with error 16.413081 in direction 0
best m,c is 1.590000,12.290000 with error 16.409168 in direction 0
best m,c is 1.590000,12.300000 with error 16.405260 in direction 0
best m,c is 1.590000,12.310000 with error 16.401357 in direction 0
best m,c is 1.590000,12.320000 with error 16.397459 in direction 0
best m,c is 1.590000,12.330000 with error 16.393567 in direction 0
best m,c is 1.590000,12.340000 with error 16.389680 in direction 0
best m,c is 1.590000,12.350000 with error 16.385797 in direction 0
best m,c is 1.590000,12.360000 with error 16.381921 in direction 0
best m,c is 1.590000,12.370000 with error 16.378049 in direction 0
best m,c is 1.590000,12.380000 with error 16.374182 in direction 0
best m,c is 1.590000,12.390000 with error 16.370321 in direction 0
best m,c is 1.590000,12.400000 with error 16.366465 in direction 0
best m,c is 1.590000,12.410000 with error 16.362614 in direction 0
best m,c is 1.590000,12.420000 with error 16.358768 in direction 0
best m,c is 1.590000,12.430000 with error 16.354928 in direction 0
best m,c is 1.590000,12.440000 with error 16.351093 in direction 0
best m,c is 1.590000,12.450000 with error 16.347262 in direction 0
best m,c is 1.590000,12.460000 with error 16.343438 in direction 0
best m,c is 1.590000,12.470000 with error 16.339618 in direction 0
best m,c is 1.590000,12.480000 with error 16.335804 in direction 0
best m,c is 1.590000,12.490000 with error 16.331994 in direction 0
best m,c is 1.590000,12.500000 with error 16.328191 in direction 0
best m,c is 1.590000,12.510000 with error 16.324392 in direction 0
best m,c is 1.590000,12.520000 with error 16.320598 in direction 0
best m,c is 1.590000,12.530000 with error 16.316810 in direction 0
